branch,run_at,git_commit,chain_id,condition,condition_name,standard_id,standard_ref,standard_clause,standard_quote,quote_status,verdict,evidence_name,value,meaning
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,shuffleSeed,20260905,kenh 3 - hat giong xao tron. Ghi lai de luot chay LAP LAI duoc
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,withdrawalsCompared,499,kenh 3 - so lan rut duoc doi chieu vi tri nop don voi vi tri tren chuoi
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,matchingPositions,1,kenh 3 - so vi tri TRUNG nhau. Bang so lan rut la lo nguyen thu tu
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,expectedIfRandom,1,kenh 3 - ky vong ly thuyet neu thu tu la ngau nhien: diem bat dong cua hoan vi ngau nhien = 1
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,orderSample,24560135: 134 -> 0 | 24560152: 151 -> 1 | 24560211: 210 -> 2,"kenh 3 - ba dong dau: ma sinh vien, vi tri nop don, vi tri tren chuoi"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,chainCrossCheckAgrees,✓,"kenh 3 - dem LAI `matchingPositions` tu su kien tren chuoi. ✓ nghia la so sach runner khop chuoi; ✗ la phat hien that, phai dieu tra"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,maxWithdrawalsPerBlock,1,kenh 4 - nhieu nhat bao nhieu lan rut trong CUNG mot block. Bang 1 la truong hop LO NHIEU NHAT cua kenh nay
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,distinctBlocks,500 / 500,kenh 4 - so block rieng biet tren so lan rut
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R4,"Unlinkability (FPR_UNL.1) - four channels: amount, wallet, payout order, block position",ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.4.5, NOTE under FPR_UNL.1.1 (Unlinkability)",This SFR intends to look at a chain of interlinked operations by multiple entities. This chain can be subsumed as a transaction,verbatim,pass,blockOrderMatchesChainOrder,✓,"kenh 4 - thu tu block co don dieu theo thu tu giao dich khong. Dung nghia la VI TRI BLOCK khong mang them thong tin nao ngoai thu tu. KHONG phai phep do thoi gian dong ho: artifact khong luu timestamp, va tren chuoi thu nghiem timestamp chi phan anh toc do vong lap runner"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,studentsAudited,500,so sinh vien duoc soi bang chung
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,studentsLeaked,0,so sinh vien bi lo dinh danh tren be mat cong khai
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,totalEncodingsChecked,7500,so cach ma hoa da thu cho moi gia tri bi mat
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,student_id_traces,[],vet cua ma sinh vien tren be mat cong khai - rong la dat
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,publicSurfacesAudited,public inputs | verifier calldata | calldata | on-chain verifyAndRecord calldata | events | contract state,nhung be mat da soi
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,surfaceSizeChars,11301495,"co be mat cong khai da soi, tinh bang ky tu"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,minimumSearchableLength,9,"do dai chuoi hex ngan nhat con dam bao do duoc, TINH TU co be mat tren"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R6,Anonymity of student identity (FPR_ANO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.2.5 FPR_ANO.1; family behaviour in Sect. 14.2.1",anonymity ... is not intended to protect the subject identity,verbatim,pass,expectedFalseMatchRate,1.64e-4,ti le trung ngau nhien ky vong o nguong do dai tren - de biet 0 ro ri co nghia
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R7,Unobservability (FPR_UNO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.5.9 FPR_UNO.1.1; family behaviour in Sect. 14.5.1","...without others, especially third parties, being able to observe that the resource or service is being used",verbatim,by_design_not_met,withdrawEventFields,recipient | amount | nullifier | root,su kien Withdraw phat cong khai nhung truong nay
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R7,Unobservability (FPR_UNO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.5.9 FPR_UNO.1.1; family behaviour in Sect. 14.5.1","...without others, especially third parties, being able to observe that the resource or service is being used",verbatim,by_design_not_met,withdrawEventsObserved,500,so lan rut nguoi ngoai DEM DUOC - dung bang so lan that su xay ra
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,R7,Unobservability (FPR_UNO.1),ISO/IEC 15408-2 (Common Criteria) CC:2022 Release 1,"commoncriteriaportal.org, 297-page PDF","Sect. 14.5.9 FPR_UNO.1.1; family behaviour in Sect. 14.5.1","...without others, especially third parties, being able to observe that the resource or service is being used",verbatim,by_design_not_met,distinctRecipients,500,so dia chi nhan hien ro. Dia chi la cong khai theo thiet ke
