branch,run_at,git_commit,chain_id,criterion,criterion_name,verdict,evidence_name,value,meaning
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,proofVerifiedOnChain,"✓ the withdraw function takes the proof as calldata and a contract verifies it, so a third party can re-run the check without trusting anyone",Whether the proof is checked by a contract (true) or by the university backend (false) - read from the withdraw ABI
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,verifiedBy,on-chain verifier contract,Who actually performs the proof check for this branch
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,commitmentPublishedOnChain,✓ a contract event carries the individual commitments,Whether any contract event carries the individual commitments
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,rootReconstructibleByThirdParty,✓ an outsider rebuilt the tree from the 500 published commitments and got the same root the contract reports,Whether an outsider can rebuild the Merkle tree from chain data alone and so confirm the root is honest
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,verifiableAxesPassed,2 of 2 (A: proof re-checkable | B: root re-buildable),"How many of the two independent axes hold: A = a third party can re-check the proof, B = a third party can rebuild the Merkle tree. 2 -> pass, 1 -> partial, 0 -> fail"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,residualTrust,"nothing beyond the chain itself - a contract re-checks the proof and the commitments are published, so both axes are open to a third party",What a third party must STILL take on trust after reading everything the chain publishes
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,2b,State is verifiable without trusting the issuer (NIST IR 8202 s4 p.18),pass,rootPublishingEvents,"ClaimSettled(bytes32 nullifier, address recipient, uint256 amount) | ClaimVerified(bytes32 nullifier, bytes32 root, address recipient, uint256 amount) | CommitmentsPublished(bytes32 root, bytes32[] commitments) | Debug(uint256 step) | Deposit(uint256 amount) | RootUpdated(bytes32 root) | Withdraw(address recipient, uint256 amount, bytes32 nullifier, bytes32 root)",Full signature of every contract event - read it to see for yourself what the chain does and does not publish
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,3,Encrypted note on IPFS,pass,cid,QmYfphPtqTRHPEoLGJrTPaDth8XmeZ4DGmq46D7uNnZmzD,IPFS address of the note (anyone can fetch it)
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,3,Encrypted note on IPFS,pass,ipfsEnvelopeFields,version | ephemeralPublicKey | iv | authTag | ciphertext,Fields actually stored on IPFS - all of them are ciphertext
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,3,Encrypted note on IPFS,pass,decrypt_correctKey,student_id | amount | rho,Decrypting with the CORRECT key yields these fields
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,3,Encrypted note on IPFS,pass,decrypt_wrongKey,Unsupported state or unable to authenticate data,"Decrypting with a WRONG key is rejected by AES-GCM, not garbage"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,publicSurfacesAudited,public inputs | verifier calldata | calldata | on-chain verifyAndRecord calldata | events | contract state,Public data sources that were searched for the secrets
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,student_id_traces,[],Traces of `student_id` found on the public surface - [] means none
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,rho_traces,[],Traces of `rho` - [] means none
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,merklePath_traces,[],"Traces of the Merkle path (`siblings`, `directions`) - [] means none"
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,studentsAudited,500,Number of students whose secrets were searched for
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,studentsLeaked,0,Number of students whose secrets leaked - must be 0
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,soCalldataDaSoi,999,
on-chain (ONC),2026-09-12T23:03:03.358Z,626c13cbbf5eb4bf826533308ffc7bb9744195de,1337,4,Private witness,pass,leakDetails,[],Who leaked and what - [] means nobody leaked
